x,y
5757.0000000000,0.0398907588
5756.5000000000,0.0437437591
5756.0000000000,0.0528137752
5755.5000000000,0.1356035313
5755.0000000000,0.2398140147
5754.5000000000,0.1406371763
5754.0000000000,0.0682079969
5753.5000000000,0.0452092961
5753.0000000000,0.0422303199
5752.5000000000,0.0412932037
5752.0000000000,0.0419698366
5751.5000000000,0.0571417912
5751.0000000000,0.1190342044
5750.5000000000,0.0931016855
5750.0000000000,0.0583236891
5749.5000000000,0.0424909366
5749.0000000000,0.0401501792
5748.5000000000,0.0393204991
5748.0000000000,0.0388543980
5747.5000000000,0.0388026354
5747.0000000000,0.0389061660
5746.5000000000,0.0393204991
5746.0000000000,0.0389061660
5745.5000000000,0.0386473790
5745.0000000000,0.0390615013
5744.5000000000,0.0390097176
5744.0000000000,0.0395277923
5743.5000000000,0.0395277923
5743.0000000000,0.0393723145
5742.5000000000,0.0412411923
5742.0000000000,0.0434302641
5741.5000000000,0.0504251399
5741.0000000000,0.0931592800
5740.5000000000,0.2605971578
5740.0000000000,0.2072942530
5739.5000000000,0.1011705280
5739.0000000000,0.0547862023
5738.5000000000,0.0451044748
5738.0000000000,0.0426473708
5737.5000000000,0.0425430760
5737.0000000000,0.0498958519
5736.5000000000,0.1108581848
5736.0000000000,0.1220734443
5735.5000000000,0.0753320798
5735.0000000000,0.0473102726
5734.5000000000,0.0413972425
5734.0000000000,0.0399945111
5733.5000000000,0.0393204991
5733.0000000000,0.0402020792
5732.5000000000,0.0402020792
5732.0000000000,0.0407733287
5731.5000000000,0.0413452205
5731.0000000000,0.0411891862
5730.5000000000,0.0417615460
5730.0000000000,0.0412932037
5729.5000000000,0.0410331998
5729.0000000000,0.0408252923
5728.5000000000,0.0407733287
5728.0000000000,0.0405655274
5727.5000000000,0.0419177560
5727.0000000000,0.0419698366
5726.5000000000,0.0435869874
5726.0000000000,0.0469945724
5725.5000000000,0.0552671406
5725.0000000000,0.1082408933
5724.5000000000,0.2746380496
5724.0000000000,0.2033448420
5723.5000000000,0.0983114854
5723.0000000000,0.0529201975
5722.5000000000,0.0456812598
5722.0000000000,0.0438483004
5721.5000000000,0.0425952207
5721.0000000000,0.0528669836
5720.5000000000,0.1212206250
5720.0000000000,0.1170985781
5719.5000000000,0.0706267208
5719.0000000000,0.0453141391
5718.5000000000,0.0403578109
5718.0000000000,0.0399945111
5717.5000000000,0.0391132903
5717.0000000000,0.0394241351
5716.5000000000,0.0394241351
5716.0000000000,0.0390615013
5715.5000000000,0.0384921701
5715.0000000000,0.0388026354
5714.5000000000,0.0393723145
5714.0000000000,0.0379234753
5713.5000000000,0.0385439011
5713.0000000000,0.0383370084
5712.5000000000,0.0385439011
5712.0000000000,0.0383887237
5711.5000000000,0.0385439011
5711.0000000000,0.0389061660
5710.5000000000,0.0398388906
5710.0000000000,0.0394759611
5709.5000000000,0.0396833176
5709.0000000000,0.0417094867
5708.5000000000,0.0464162970
5708.0000000000,0.0647647261
5707.5000000000,0.1856314712
5707.0000000000,0.2248962059
5706.5000000000,0.1218296357
5706.0000000000,0.0611823172
5705.5000000000,0.0452092961
5705.0000000000,0.0429082013
5704.5000000000,0.0420219226
5704.0000000000,0.0447901402
5703.5000000000,0.0808116619
5703.0000000000,0.1166158203
5702.5000000000,0.0789038876
5702.0000000000,0.0492614325
5701.5000000000,0.0403578109
5701.0000000000,0.0392168842
5700.5000000000,0.0398388906
5700.0000000000,0.0386473790
5699.5000000000,0.0386473790
5699.0000000000,0.0379751486
5698.5000000000,0.0383370084
5698.0000000000,0.0381301999
5697.5000000000,0.0385439011
5697.0000000000,0.0385439011
5696.5000000000,0.0378718073
5696.0000000000,0.0384921701
5695.5000000000,0.0389579392
5695.0000000000,0.0385956375
5694.5000000000,0.0390097176
5694.0000000000,0.0379751486
5693.5000000000,0.0381301999
5693.0000000000,0.0382335936
5692.5000000000,0.0384921701
5692.0000000000,0.0397351700
5691.5000000000,0.0394241351
5691.0000000000,0.0395277923
5690.5000000000,0.0404616585
5690.0000000000,0.0443190023
5689.5000000000,0.0590233764
5689.0000000000,0.1461044866
