Data from elevtemp28_1_mrosen_r2_290 nm__0__15-45-53-550.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:46:00.185	1729723560185	-0.02703
15:46:00.205	1729723560205	-0.02731
15:46:00.226	1729723560226	-0.02414
15:46:00.247	1729723560247	-0.03106
15:46:00.267	1729723560267	-0.02653
15:46:00.287	1729723560287	-0.0361
15:46:00.308	1729723560308	-0.0357
15:46:00.328	1729723560328	-0.03359
15:46:00.349	1729723560349	-0.0294
15:46:00.369	1729723560369	-0.03074
15:46:00.390	1729723560390	-0.02205
15:46:00.410	1729723560410	-0.03281
15:46:00.430	1729723560430	-0.03379
15:46:00.451	1729723560451	-0.02767
15:46:00.473	1729723560473	-0.03191
15:46:00.492	1729723560492	-0.02928
15:46:00.512	1729723560512	-0.03555
15:46:00.533	1729723560533	-0.02187
15:46:00.553	1729723560553	-0.0288
15:46:00.574	1729723560574	-0.03041
15:46:00.594	1729723560594	-0.02928
15:46:00.615	1729723560615	-0.02875
15:46:00.635	1729723560635	-0.03028
15:46:00.656	1729723560656	-0.02696
15:46:00.677	1729723560677	-0.02774
15:46:00.697	1729723560697	-0.02951
15:46:00.717	1729723560717	-0.03171
15:46:00.738	1729723560738	-0.0358
15:46:00.761	1729723560761	-0.02366
15:46:00.779	1729723560779	-0.02756
15:46:00.802	1729723560802	-0.03592
15:46:00.822	1729723560822	-0.03129
15:46:00.840	1729723560840	-0.02716
15:46:00.860	1729723560860	-0.02721
15:46:00.881	1729723560881	-0.03111
15:46:00.902	1729723560902	-0.03179
15:46:00.922	1729723560922	-0.02455
15:46:00.943	1729723560943	-0.02779
15:46:00.963	1729723560963	-0.03418
15:46:00.984	1729723560984	-0.03091
15:46:01.004	1729723561004	-0.02878
15:46:01.024	1729723561024	-0.02343
15:46:01.045	1729723561045	-0.03184
15:46:01.065	1729723561065	-0.03503
15:46:01.086	1729723561086	-0.0407
15:46:01.106	1729723561106	-0.03049
15:46:01.127	1729723561127	-0.03006
15:46:01.149	1729723561149	-0.0349
15:46:01.168	1729723561168	-0.0361
15:46:01.188	1729723561188	-0.03013
15:46:01.209	1729723561209	-0.03577
15:46:01.229	1729723561229	-0.0264
15:46:01.250	1729723561250	-0.03669
15:46:01.270	1729723561270	-0.03166
15:46:01.290	1729723561290	-0.02835
15:46:01.311	1729723561311	-0.02615
15:46:01.331	1729723561331	-0.02905
15:46:01.352	1729723561352	-0.03366
15:46:01.372	1729723561372	-0.03486
15:46:01.395	1729723561395	-0.02266
15:46:01.414	1729723561414	-0.01847
15:46:01.434	1729723561434	-0.03166
15:46:01.455	1729723561455	-0.02274
15:46:01.475	1729723561475	-0.02602
15:46:01.496	1729723561496	-0.03381
15:46:01.516	1729723561516	-0.03354
15:46:01.536	1729723561536	-0.03006
15:46:01.557	1729723561557	-0.02918
15:46:01.577	1729723561577	-0.03094
15:46:01.598	1729723561598	-0.02564
15:46:01.618	1729723561618	-0.03481
15:46:01.639	1729723561639	-0.02251
15:46:01.659	1729723561659	-0.03144
15:46:01.680	1729723561680	-0.03473
15:46:01.701	1729723561701	-0.03191
15:46:01.721	1729723561721	-0.02508
15:46:01.741	1729723561741	-0.02774
15:46:01.762	1729723561762	-0.02066
15:46:01.782	1729723561782	-0.02976
15:46:01.803	1729723561803	-0.03775
15:46:01.823	1729723561823	-0.02678
15:46:01.843	1729723561843	-0.03344
15:46:01.864	1729723561864	-0.02777
15:46:01.885	1729723561885	-0.03251
15:46:01.905	1729723561905	-0.02842
15:46:01.925	1729723561925	-0.03003
15:46:01.946	1729723561946	-0.02976
15:46:01.966	1729723561966	-0.02956
15:46:01.987	1729723561987	-0.02918
15:46:02.007	1729723562007	-0.02842
15:46:02.028	1729723562028	-0.03822
15:46:02.048	1729723562048	-0.03351
15:46:02.069	1729723562069	-0.029
15:46:02.089	1729723562089	-0.02953
15:46:02.110	1729723562110	-0.0287
15:46:02.129	1729723562129	-0.03181
15:46:02.151	1729723562151	-0.02981
15:46:02.171	1729723562171	-0.03911
15:46:02.192	1729723562192	-0.03401
15:46:02.212	1729723562212	-0.02777
15:46:02.235	1729723562235	-0.03369
15:46:02.253	1729723562253	-0.03131
15:46:02.273	1729723562273	-0.02726
15:46:02.294	1729723562294	-0.02898
15:46:02.314	1729723562314	-0.02825
15:46:02.335	1729723562335	-0.02584
15:46:02.356	1729723562356	-0.03421
15:46:02.376	1729723562376	-0.03664
15:46:02.398	1729723562398	-0.03201
15:46:02.417	1729723562417	-0.03612
15:46:02.437	1729723562437	-0.03535
15:46:02.458	1729723562458	-0.02488
15:46:02.478	1729723562478	-0.03134
15:46:02.499	1729723562499	-0.03654
15:46:02.519	1729723562519	-0.02698
15:46:02.540	1729723562540	-0.02976
15:46:02.560	1729723562560	-0.02713
15:46:02.581	1729723562581	-0.02797
15:46:02.601	1729723562601	-0.03874
15:46:02.621	1729723562621	-0.03189
15:46:02.642	1729723562642	-0.02976
15:46:02.663	1729723562663	-0.03495
15:46:02.683	1729723562683	-0.03371
15:46:02.703	1729723562703	-0.03575
15:46:02.724	1729723562724	-0.03191
15:46:02.744	1729723562744	-0.02648
15:46:02.765	1729723562765	-0.02976
15:46:02.785	1729723562785	-0.03071
15:46:02.806	1729723562806	-0.03274
15:46:02.828	1729723562828	-0.03219
15:46:02.847	1729723562847	-0.03453
15:46:02.867	1729723562867	-0.03161
15:46:02.888	1729723562888	-0.03453
15:46:02.908	1729723562908	-0.02622
15:46:02.929	1729723562929	-0.02726
15:46:02.949	1729723562949	-0.02286
15:46:02.970	1729723562970	-0.03026
15:46:02.990	1729723562990	-0.0349
15:46:03.011	1729723563011	-0.03619
15:46:03.031	1729723563031	-0.03209
15:46:03.052	1729723563052	-0.01938
15:46:03.072	1729723563072	-0.02348
15:46:03.093	1729723563093	-0.02993
15:46:03.113	1729723563113	-0.03728
15:46:03.133	1729723563133	-0.02988
15:46:03.154	1729723563154	-0.03121
15:46:03.175	1729723563175	-0.02648
15:46:03.195	1729723563195	-0.03023
15:46:03.215	1729723563215	-0.02847
15:46:03.236	1729723563236	-0.02564
15:46:03.256	1729723563256	-0.0236
15:46:03.277	1729723563277	-0.03091
15:46:03.297	1729723563297	-0.03518
15:46:03.318	1729723563318	-0.03061
15:46:03.338	1729723563338	-0.02761
15:46:03.359	1729723563359	-0.0261
15:46:03.379	1729723563379	-0.03311
15:46:03.400	1729723563400	-0.03356
15:46:03.420	1729723563420	-0.03084
15:46:03.441	1729723563441	-0.03874
15:46:03.461	1729723563461	-0.02883
15:46:03.482	1729723563482	-0.02658
15:46:03.502	1729723563502	-0.02935
15:46:03.523	1729723563523	-0.02943
15:46:03.543	1729723563543	-0.03059
15:46:03.563	1729723563563	-0.02536
15:46:03.584	1729723563584	-0.02292
15:46:03.605	1729723563605	-0.03101
15:46:03.625	1729723563625	-0.02986
15:46:03.645	1729723563645	-0.03259
15:46:03.666	1729723563666	-0.02645
15:46:03.686	1729723563686	-0.03239
15:46:03.707	1729723563707	-0.0294
15:46:03.727	1729723563727	-0.02467
15:46:03.748	1729723563748	-0.03281
15:46:03.768	1729723563768	-0.02825
15:46:03.789	1729723563789	-0.03664
15:46:03.809	1729723563809	-0.03254
15:46:03.830	1729723563830	-0.03768
15:46:03.850	1729723563850	-0.03204
15:46:03.870	1729723563870	-0.03134
15:46:03.891	1729723563891	-0.02938
15:46:03.912	1729723563912	-0.02572
15:46:03.932	1729723563932	-0.02935
15:46:03.953	1729723563953	-0.03261
15:46:03.973	1729723563973	-0.03748
15:46:03.994	1729723563994	-0.03386
15:46:04.014	1729723564014	-0.02976
15:46:04.034	1729723564034	-0.02416
15:46:04.055	1729723564055	-0.02953
15:46:04.075	1729723564075	-0.02913
15:46:04.096	1729723564096	-0.03209
15:46:04.116	1729723564116	-0.02905
15:46:04.137	1729723564137	-0.03244
15:46:04.157	1729723564157	-0.02396
15:46:04.178	1729723564178	-0.0267
15:46:04.198	1729723564198	-0.03495
15:46:04.219	1729723564219	-0.03031
15:46:04.239	1729723564239	-0.02617
15:46:04.261	1729723564261	-0.03336
15:46:04.280	1729723564280	-0.02769
15:46:04.301	1729723564301	-0.03354
15:46:04.321	1729723564321	-0.03224
15:46:04.342	1729723564342	-0.02971
15:46:04.362	1729723564362	-0.03493
15:46:04.383	1729723564383	-0.03179
15:46:04.403	1729723564403	-0.02918
15:46:04.424	1729723564424	-0.02223
15:46:04.446	1729723564446	-0.03151
15:46:04.465	1729723564465	-0.03236
15:46:04.485	1729723564485	-0.03825
15:46:04.506	1729723564506	-0.02645
15:46:04.526	1729723564526	-0.02772
15:46:04.546	1729723564546	-0.02862
15:46:04.567	1729723564567	-0.02592
15:46:04.587	1729723564587	-0.02551
15:46:04.608	1729723564608	-0.03109
15:46:04.628	1729723564628	-0.02439
15:46:04.649	1729723564649	-0.02442
15:46:04.669	1729723564669	-0.03161
15:46:04.690	1729723564690	-0.03451
15:46:04.710	1729723564710	-0.03773
15:46:04.731	1729723564731	-0.02835
15:46:04.751	1729723564751	-0.03778
15:46:04.772	1729723564772	-0.02744
15:46:04.792	1729723564792	-0.02516
15:46:04.813	1729723564813	-0.0355
15:46:04.833	1729723564833	-0.0294
15:46:04.854	1729723564854	-0.03271
15:46:04.874	1729723564874	-0.02462
15:46:04.895	1729723564895	-0.02577
15:46:04.917	1729723564917	-0.03044
15:46:04.938	1729723564938	-0.0358
15:46:04.956	1729723564956	-0.02128
15:46:04.976	1729723564976	-0.025
15:46:04.997	1729723564997	-0.03086
15:46:05.019	1729723565019	-0.02701
15:46:05.038	1729723565038	-0.02706
15:46:05.058	1729723565058	-0.03081
15:46:05.079	1729723565079	-0.03426
15:46:05.099	1729723565099	-0.03176
15:46:05.120	1729723565120	-0.03446
15:46:05.140	1729723565140	-0.03141
15:46:05.161	1729723565161	-0.03296
15:46:05.181	1729723565181	-0.02943
15:46:05.202	1729723565202	-0.03206
15:46:05.222	1729723565222	-0.03134
15:46:05.242	1729723565242	-0.02948
15:46:05.263	1729723565263	-0.03371
15:46:05.284	1729723565284	-0.03339
15:46:05.304	1729723565304	-0.02774
15:46:05.327	1729723565327	-0.03269
15:46:05.345	1729723565345	-0.02895
15:46:05.365	1729723565365	-0.03186
15:46:05.386	1729723565386	-0.02754
15:46:05.406	1729723565406	-0.03149
15:46:05.427	1729723565427	-0.02865
15:46:05.447	1729723565447	-0.0283
15:46:05.468	1729723565468	-0.03021
15:46:05.491	1729723565491	-0.03121
15:46:05.509	1729723565509	-0.02051
15:46:05.529	1729723565529	-0.03406
15:46:05.550	1729723565550	-0.03016
15:46:05.570	1729723565570	-0.03161
15:46:05.591	1729723565591	-0.03244
15:46:05.611	1729723565611	-0.0294
15:46:05.632	1729723565632	-0.03003
15:46:05.652	1729723565652	-0.03076
15:46:05.673	1729723565673	-0.03369
15:46:05.693	1729723565693	-0.03289
15:46:05.714	1729723565714	-0.03099
15:46:05.734	1729723565734	-0.02961
15:46:05.755	1729723565755	-0.03431
15:46:05.775	1729723565775	-0.03381
15:46:05.795	1729723565795	-0.02701
15:46:05.816	1729723565816	-0.03036
15:46:05.836	1729723565836	-0.02789
15:46:05.857	1729723565857	-0.04068
15:46:05.879	1729723565879	-0.02983
15:46:05.898	1729723565898	-0.03379
15:46:05.918	1729723565918	-0.02991
15:46:05.939	1729723565939	-0.03116
15:46:05.959	1729723565959	-0.04512
15:46:05.980	1729723565980	-0.03321
15:46:06.000	1729723566000	-0.02998
15:46:06.021	1729723566021	-0.03159
15:46:06.041	1729723566041	-0.03321
15:46:06.062	1729723566062	-0.02594
